id,hex,flight,reason,lat,lon,alt,josiah_reflection,flagged_at,created_at
30677,a9d136,"N73103  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.419315,-119.079697,1375,TIER 2 ALERT: Aircraft N73103   conducting low-altitude surveillance at 1375ft. Pattern consistent with proximity monitoring.,2025-08-19 22:46:21.066485+00,2025-10-07 13:27:04.690486+00
30678,a9d136,"N73103  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.430038,-119.087448,1275,TIER 2 ALERT: Aircraft N73103   conducting low-altitude surveillance at 1275ft. Pattern consistent with proximity monitoring.,2025-08-02 21:44:44.097551+00,2025-10-07 13:27:04.690486+00
30679,a9f0b4,"N74FF   ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.263916,-119.205261,975,TIER 2 ALERT: Aircraft N74FF    conducting low-altitude surveillance at 975ft. Pattern consistent with proximity monitoring.,2025-07-30 14:17:02.237856+00,2025-10-07 13:27:04.690486+00
30680,adee39,"N997SE  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.607513,-119.33979,650,TIER 2 ALERT: Aircraft N997SE   conducting low-altitude surveillance at 650ft. Pattern consistent with proximity monitoring.,2025-07-21 17:05:25.068311+00,2025-10-07 13:27:04.690486+00
30681,aaa74e,"N786FA  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.47554,-119.108444,1975,TIER 2 ALERT: Aircraft N786FA   conducting low-altitude surveillance at 1975ft. Pattern consistent with proximity monitoring.,2025-08-23 17:16:47.154953+00,2025-10-07 13:27:04.690486+00
30682,a9ce65,"N7307N  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.463638,-119.061241,1600,TIER 2 ALERT: Aircraft N7307N   conducting low-altitude surveillance at 1600ft. Pattern consistent with proximity monitoring.,2025-08-23 18:26:40.842329+00,2025-10-07 13:27:04.690486+00
30683,aab883,"N790FA  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.428116,-119.052773,550,TIER 2 ALERT: Aircraft N790FA   conducting low-altitude surveillance at 550ft. Pattern consistent with proximity monitoring.,2025-08-24 21:03:41.640572+00,2025-10-07 13:27:04.690486+00
30684,a4b6c2,"N4022W  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.420483,-119.319649,1150,TIER 2 ALERT: Aircraft N4022W   conducting low-altitude surveillance at 1150ft. Pattern consistent with proximity monitoring.,2025-08-01 20:29:05.433911+00,2025-10-07 13:27:04.690486+00
30685,a2027c,"N229AM  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.466801,-119.072861,1800,TIER 2 ALERT: Aircraft N229AM   conducting low-altitude surveillance at 1800ft. Pattern consistent with proximity monitoring.,2025-08-22 00:32:52.911533+00,2025-10-07 13:27:04.690486+00
30686,aca2b4,"N913KC  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.280441,-119.00219,1075,TIER 2 ALERT: Aircraft N913KC   conducting low-altitude surveillance at 1075ft. Pattern consistent with proximity monitoring.,2025-07-26 04:01:00.219747+00,2025-10-07 13:27:04.690486+00
30687,aa045f,"N7444W  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.334358,-119.008057,950,TIER 2 ALERT: Aircraft N7444W   conducting low-altitude surveillance at 950ft. Pattern consistent with proximity monitoring.,2025-08-22 00:44:04.947726+00,2025-10-07 13:27:04.690486+00
30688,ac1b3a,"N8798E  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.437241,-119.060532,900,TIER 2 ALERT: Aircraft N8798E   conducting low-altitude surveillance at 900ft. Pattern consistent with proximity monitoring.,2025-07-17 19:29:00.872416+00,2025-10-07 13:27:04.690486+00
30689,a9e538,"N737BU  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.4272,-119.051682,300,TIER 2 ALERT: Aircraft N737BU   conducting low-altitude surveillance at 300ft. Pattern consistent with proximity monitoring.,2025-08-02 17:52:51.09464+00,2025-10-07 13:27:04.690486+00
30690,ad1462,"N9418U  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.31514,-118.994865,525,TIER 2 ALERT: Aircraft N9418U   conducting low-altitude surveillance at 525ft. Pattern consistent with proximity monitoring.,2025-08-03 01:03:35.597243+00,2025-10-07 13:27:04.690486+00
30691,a06486,"N124WD  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.211182,-119.144669,1500,TIER 2 ALERT: Aircraft N124WD   conducting low-altitude surveillance at 1500ft. Pattern consistent with proximity monitoring.,2025-08-03 17:15:50.775129+00,2025-10-07 13:27:04.690486+00
30692,acae33,"N916NT  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.518005,-119.211479,950,TIER 2 ALERT: Aircraft N916NT   conducting low-altitude surveillance at 950ft. Pattern consistent with proximity monitoring.,2025-07-16 21:38:26.615198+00,2025-10-07 13:27:04.690486+00
30693,ac9efd,"N912KC  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.36705,-118.937241,1300,TIER 2 ALERT: Aircraft N912KC   conducting low-altitude surveillance at 1300ft. Pattern consistent with proximity monitoring.,2025-07-19 01:50:40.658887+00,2025-10-07 13:27:04.690486+00
